Date,Actual_Close,Predicted_Close
2024-11-25,3413.5439453125,3368.943227830867
2024-11-26,3326.517333984375,3367.62923592708
2024-11-27,3657.249267578125,3362.0653430808607
2024-11-28,3579.8115234375,3329.735350622864
2024-11-29,3593.494384765625,3335.7295349558026
2024-11-30,3705.705322265625,3327.268847327475
2024-12-01,3711.1650390625,3329.4636714635135
2024-12-02,3644.198486328125,3324.54348533614
2024-12-03,3620.711669921875,3325.767164759687
2024-12-04,3841.3310546875,3330.948643558087
2024-12-05,3811.00830078125,3361.056550935807
2024-12-06,4005.810546875,3355.474355179481
2024-12-07,4002.692626953125,3363.3535280495785
2024-12-08,4005.70458984375,3361.309557210919
2024-12-09,3718.6904296875,3365.891572143232
2024-12-10,3631.833740234375,3364.751997898294
2024-12-11,3832.822021484375,3359.926649301491
2024-12-12,3883.1015625,3331.888100024281
2024-12-13,3911.205322265625,3337.0866237484706
2024-12-14,3868.4052734375,3329.748997323282
2024-12-15,3951.941162109375,3331.652483220257
2024-12-16,3987.48095703125,3327.385396509221
2024-12-17,3886.76611328125,3328.446646240758
2024-12-18,3618.791259765625,3332.9403419570963
2024-12-19,3417.927978515625,3359.051762977087
2024-12-20,3472.553466796875,3354.2105409758096
2024-12-21,3337.222412109375,3361.043842191976
2024-12-22,3277.53515625,3359.2711855124116
2024-12-23,3415.785400390625,3363.244989454231
2024-12-24,3492.0498046875,3362.256680884
2024-12-25,3493.2353515625,3358.071843087117
2024-12-26,3331.225830078125,3333.7550961348275
2024-12-27,3328.9169921875,3338.263574254605
2024-12-28,3397.90234375,3331.899935278577
2024-12-29,3349.513427734375,3333.550754813724
2024-12-30,3356.392578125,3329.850075910908
2024-12-31,3332.53173828125,3330.770456666696
