ds,yhat,yhat_lower,yhat_upper
2024-02-07,44795.459862873846,41447.088150919415,47780.26139330563
2024-02-08,44978.92961890197,41973.140919172736,48190.304825026666
2024-02-09,45485.30204746303,42621.14582551198,48956.66785286454
2024-02-10,45800.673875451415,42576.626007348335,48867.35953438984
2024-02-11,46377.87421014519,43389.869085557206,49381.87505795657
2024-02-12,47183.31612991037,43842.8280678402,50242.93749489849
2024-02-13,47373.51287284741,44207.52938684796,50496.59042833219
2024-02-14,48277.2691112504,44966.67902108892,51288.07090725633
2024-02-15,48773.88010487757,45582.891746691326,51924.66733681946
2024-02-16,49597.883189680324,46435.611713782666,52681.83473562075
2024-02-17,50230.3703924645,47198.04702680362,53455.572559839755
2024-02-18,51118.87451604997,48116.27958953941,54214.21081310977
2024-02-19,52224.353798867174,49178.43501135199,55221.33144766875
2024-02-20,52697.84599810741,49552.793652828805,55781.07501793635
2024-02-21,53862.7997015381,50609.40361975393,57331.086320703784
2024-02-22,54593.41122304397,51216.798001356954,57969.644705016646
2024-02-23,55619.50785633349,52493.52894860928,58707.42570004188
2024-02-24,56417.98265773318,53199.84028784983,59249.170225222384
2024-02-25,57432.789876233466,54317.85352649529,60432.9340193368
2024-02-26,58622.022594431415,55308.09320729085,61741.83092754183
2024-02-27,59134.64205821129,56079.32373774111,62373.19660774868
2024-02-28,60292.86336554389,56856.02903466228,63388.62178596181
2024-02-29,60970.525003057985,57658.96373011713,64183.646313705874
2024-03-01,61897.982202333435,58516.631430029694,64983.25376425884
2024-03-02,62553.52888850746,59520.62751803953,65968.35047255205
2024-03-03,63383.35802988878,60284.25114343086,66585.2409811289
2024-03-04,64348.582916126485,61186.6802330677,67385.48126277895
2024-03-05,64601.890524390896,61458.34461235601,67889.80807861172
2024-03-06,65469.83383258572,62249.69883743571,68889.05725837694
2024-03-07,65831.09324391547,62668.372880841795,69059.08485291005
2024-03-08,66421.25001943324,63094.27843745442,69494.82886335738
2024-03-09,66724.08005503386,63610.0418644506,70027.3892348087
2024-03-10,67191.38111992378,63971.713198675636,70197.007545598
2024-03-11,67789.85983385952,64709.28242459277,71024.7498121833
2024-03-12,67677.61473633687,64601.77873884711,70683.8444088801
2024-03-13,68186.41790867594,65188.44458656235,71231.63078613703
2024-03-14,68199.74448181537,65017.63438287693,71483.81601628728
2024-03-15,68457.48010471716,65176.995696095655,71384.18306814185
2024-03-16,68447.12528114812,65205.23232801237,71543.74676659855
2024-03-17,68623.55030670173,65235.5009199866,71740.32168684674
2024-03-18,68955.82877792614,65700.94121334511,72249.09153860807
2024-03-19,68603.72558976448,65393.69122409592,71772.64805217073
2024-03-20,68899.850381323,65588.20745864998,71931.04075358828
2024-03-21,68727.80990958525,65500.09974231426,71897.6420882694
2024-03-22,68826.90469368626,65739.15535126424,71816.65562283543
2024-03-23,68683.3797838463,65737.34206451985,71667.65345230298
2024-03-24,68750.24333870613,65532.03039114987,71706.34409455824
2024-03-25,68994.17887662053,65789.14517336422,72336.61273175436
