Date,Actual_Close,Predicted_Close
2024-11-25,93102.296875,98013.8203125
2024-11-26,91985.3203125,98013.8203125
2024-11-27,95962.53125,98013.8203125
2024-11-28,95652.46875,98013.8203125
2024-11-29,97461.5234375,98013.8203125
2024-11-30,96449.0546875,98013.8203125
2024-12-01,97279.7890625,98013.8203125
2024-12-02,95865.3046875,98013.8203125
2024-12-03,96002.1640625,98013.8203125
2024-12-04,98768.53125,98013.8203125
2024-12-05,96593.5703125,98013.8203125
2024-12-06,99920.7109375,98013.8203125
2024-12-07,99923.3359375,98013.8203125
2024-12-08,101236.015625,98013.8203125
2024-12-09,97432.71875,98013.8203125
2024-12-10,96675.4296875,98013.8203125
2024-12-11,101173.03125,98013.8203125
2024-12-12,100043.0,98013.8203125
2024-12-13,101459.2578125,98013.8203125
2024-12-14,101372.96875,98013.8203125
2024-12-15,104298.6953125,98013.8203125
2024-12-16,106029.71875,98013.8203125
2024-12-17,106140.6015625,98013.8203125
2024-12-18,100041.5390625,98013.8203125
2024-12-19,97490.953125,98013.8203125
2024-12-20,97755.9296875,98013.8203125
2024-12-21,97224.7265625,98013.8203125
2024-12-22,95104.9375,98013.8203125
2024-12-23,94686.2421875,98013.8203125
2024-12-24,98676.09375,98013.8203125
2024-12-25,99299.1953125,98013.8203125
2024-12-26,95795.515625,98013.8203125
2024-12-27,94164.859375,98013.8203125
2024-12-28,95163.9296875,98013.8203125
2024-12-29,93530.2265625,98013.8203125
2024-12-30,92643.2109375,98013.8203125
2024-12-31,93429.203125,98013.8203125
