ds,yhat,yhat_lower,yhat_upper
2024-02-23,3131.606585516918,2943.0139932375578,3314.2818043025295
2024-02-24,3202.5120311655796,3019.095898758613,3387.001230162629
2024-02-25,3268.2208816787515,3077.95172365255,3467.2533513271046
2024-02-26,3356.6749385099133,3162.3215124114945,3544.746559716651
2024-02-27,3373.760759240773,3182.602734495075,3550.7047821722836
2024-02-28,3439.501351595461,3238.1183785550406,3615.104651848749
2024-02-29,3480.5384952058557,3291.088800752325,3673.662361323165
2024-03-01,3520.361867691606,3328.116338300147,3701.4196133683377
2024-03-02,3568.3703085975103,3390.64109513186,3758.989090462304
2024-03-03,3608.3579807415563,3413.8500288519567,3791.2588210471777
2024-03-04,3668.7041297699075,3475.2015213417335,3861.5536016043707
2024-03-05,3655.7609900732878,3464.585873248702,3843.498678870641
2024-03-06,3690.035400143779,3491.992680079597,3880.0271955042426
2024-03-07,3698.660957340662,3515.391420091064,3892.962321795486
2024-03-08,3705.617123457904,3512.3663044468112,3891.923976057063
2024-03-09,3720.78083829545,3529.748417313977,3895.6004710195257
2024-03-10,3728.403609343873,3545.504668493264,3914.8269017842686
2024-03-11,3757.29296579089,3570.2261624893167,3955.266598312696
2024-03-12,3714.1929878294864,3525.4166913643353,3888.294219214996
2024-03-13,3719.959610582068,3557.2897435403447,3909.936795556181
2024-03-14,3702.027635257302,3516.4706339804357,3883.848203760663
2024-03-15,3684.6259341122923,3495.6058283678112,3864.2630514196103
2024-03-16,3677.8264457655396,3483.728384553004,3863.318840222521
2024-03-17,3666.019937298414,3470.164309598246,3859.0908715713194
2024-03-18,3678.0973981658562,3490.1245901142056,3857.1488988560914
2024-03-19,3620.83172445628,3434.4356958161243,3819.4966413828365
2024-03-20,3615.055312137767,3425.529063782119,3804.5912469657806
2024-03-21,3588.1303907389397,3414.321231235025,3783.74965794948
2024-03-22,3564.1684583615765,3375.621297292232,3726.639476978963
2024-03-23,3553.0842760823075,3359.0354239131243,3734.9723351665934
2024-03-24,3539.077246737675,3333.3279083343396,3729.297928069339
2024-03-25,3550.8188841877436,3364.373847903635,3731.4366722556815
2024-03-26,3494.8408702009688,3311.981849680128,3683.2402558725457
2024-03-27,3491.7191572140937,3303.0634656305947,3677.271892612196
2024-03-28,3468.5507935883143,3287.5659174154616,3662.5836583044193
2024-03-29,3449.179686514732,3247.208024424912,3621.4965414799
2024-03-30,3443.256627277649,3251.263410120381,3630.302252494229
2024-03-31,3434.726285490399,3243.1349003032124,3621.525059988631
2024-04-01,3452.0197776443256,3263.2773233810844,3649.2822465277327
2024-04-02,3401.447224741037,3217.6720056017084,3582.0527708150908
2024-04-03,3403.385695002728,3212.7492736468425,3593.999188620105
2024-04-04,3384.759166059653,3208.089142708036,3570.108017820511
2024-04-05,3369.26669886705,3187.383906015597,3552.5127151037004
2024-04-06,3366.4441453466807,3181.126494996011,3557.3788296361463
2024-04-07,3360.1521096154856,3183.7648228272046,3550.3119382523428
2024-04-08,3378.7687984377812,3204.8948440927375,3567.380251512139
2024-04-09,3328.582219164029,3127.4448367629657,3516.8982041756735
2024-04-10,3329.9771760153226,3158.059701007993,3505.313507569078
2024-04-11,3309.9137626219663,3128.196103903778,3507.956559994355
2024-04-12,3292.153613159564,3108.8125412182235,3478.918721312595
2024-04-13,3286.319306416052,3108.065403458109,3470.0608650420904
2024-04-14,3276.379717598921,3086.2911021421737,3465.9271304542376
2024-04-15,3290.840025891466,3106.8530659089183,3482.33955452036
2024-04-16,3236.130905497763,3060.202008570535,3425.725315411011
2024-04-17,3232.792415291824,3043.958524934605,3408.2624857952783
2024-04-18,3207.949342792426,3017.3842050675094,3383.409112299046
2024-04-19,3185.5343151182633,2996.002212875032,3383.4459052539482
2024-04-20,3175.344113601956,2994.244544850529,3359.8181917263973
2024-04-21,3161.52202104638,2973.31989695692,3353.9398895531685
2024-04-22,3172.7449358930007,2962.9782164884214,3365.296086910374
2024-04-23,3115.6097999710328,2923.4390364633364,3301.3632253735154
2024-04-24,3110.814867476613,2936.112186907355,3301.3049436339634
2024-04-25,3085.632578123289,2902.802300394516,3270.3235750400527
2024-04-26,3064.130350478972,2881.743379473193,3261.208389620082
2024-04-27,3056.224733050787,2865.246573382061,3255.8664018319446
2024-04-28,3046.1617418279875,2869.6036492864,3239.740541272063
2024-04-29,3062.7021192921256,2859.537424331648,3247.623586546997
2024-04-30,3012.5060634400834,2809.349850559883,3188.0758848694904
2024-05-01,3016.312959881675,2826.3645651015727,3200.1093464957953
2024-05-02,3001.4128890975876,2821.4478857239824,3188.2857650129886
2024-05-03,2991.866238626225,2803.24380869598,3183.2398219465294
2024-05-04,2997.5568763535093,2808.5310017540623,3183.752658659387
2024-05-05,3002.671737279429,2823.268659025055,3183.7213797155287
2024-05-06,3035.8855863491267,2841.8602194543564,3222.9849738116463
2024-05-07,3003.7455378499117,2828.165243611633,3191.0695019390346
2024-05-08,3026.850898429844,2846.182652622624,3210.062921008648
2024-05-09,3032.3251411779747,2842.695291682266,3219.3728037363076
2024-05-10,3044.036375449595,2860.4086936868334,3240.683560208621
2024-05-11,3071.651800929021,2882.804110879853,3244.4874304011796
2024-05-12,3099.11902661161,2913.6680079960806,3279.9131910720084
2024-05-13,3154.853038998819,2966.7047282395474,3337.0763445587545
2024-05-14,3145.123413471369,2959.223312681901,3332.928816043747
2024-05-15,3190.2373391333663,2993.7975589309353,3370.679572581897
2024-05-16,3217.015255962997,3030.337551819631,3411.571711329938
2024-05-17,3249.0154470192206,3054.746044802604,3431.7690573579616
2024-05-18,3295.5930382656034,3119.9352762243943,3462.654058512627
2024-05-19,3340.3862356129166,3166.6199637446834,3531.4207886624504
2024-05-20,3411.5085176902176,3215.9294095873033,3606.461691825186
2024-05-21,3414.941297554812,3231.756510038793,3598.882594285519
2024-05-22,3470.7225312200817,3281.599905046205,3643.134642251665
2024-05-23,3505.427962339239,3333.340164202905,3700.1894487300287
2024-05-24,3542.4012326078173,3355.128268956777,3728.2931573706855
2024-05-25,3590.8181845681097,3407.732066880151,3782.220661993998
2024-05-26,3634.1780575763496,3450.128094232939,3817.225372394889
